2026-05-01 10:30:05 | ERROR    | bot.validators | Validation error: Invalid side 'LONG'. Must be one of: BUY, SELL.
2026-05-01 10:31:44 | ERROR    | bot.validators | Validation error: Price is required for LIMIT orders.
2026-05-01 10:45:22 | ERROR    | bot.orders | Binance API error placing order for BTCUSDT: status=400, code=-1111, msg=Precision is over the maximum defined for this asset.
2026-05-01 12:54:09 | ERROR    | bot.orders | Binance API error placing order for BTCUSDT: status=401, code=-2015, msg=Invalid API-key, IP, or permissions for action
2026-05-01 12:54:09 | ERROR    | __main__ | Binance API error [-2015]: Invalid API-key, IP, or permissions for action
2026-05-01 12:54:55 | ERROR    | bot.orders | Binance API error placing order for BTCUSDT: status=401, code=-2015, msg=Invalid API-key, IP, or permissions for action
2026-05-01 12:54:55 | ERROR    | __main__ | Binance API error [-2015]: Invalid API-key, IP, or permissions for action
2026-05-01 13:12:27 | ERROR    | bot.orders | Binance API error placing order for BTCUSDT: status=400, code=-4024, msg=Limit price can't be lower than 73183.11.
2026-05-01 13:12:27 | ERROR    | __main__ | Binance API error [-4024]: Limit price can't be lower than 73183.11.
2026-05-01 13:20:14 | ERROR    | bot.orders | Binance API error placing order for BTCUSDT: status=400, code=-4024, msg=Limit price can't be lower than 73224.56.
2026-05-01 13:20:14 | ERROR    | __main__ | Binance API error [-4024]: Limit price can't be lower than 73224.56.
